Bcell	CD4T	CD8T	Eos	Mono	Neu	NK
cg02665297	0.058010970580396	0.94884677903329	0.946444328689774	0.950012018019342	0.951546720987683	0.951460297858721	0.943546289709206
cg15035590	0.0921631037684701	0.928285197532737	0.928342119138293	0.932230327560794	0.929353286565736	0.930844383313838	0.927521404203332
cg27106643	0.0879621973360027	0.929875633524783	0.924997715016446	0.934095708087266	0.927122903119479	0.932976505921223	0.909620435433789
cg01024458	0.060414495333025	0.921613422740079	0.916883321736661	0.944840723362034	0.939652416149385	0.942696700371236	0.919615394010314
cg11661493	0.0654550197566135	0.918486593964383	0.914528493169628	0.916982502711221	0.915767466855653	0.913567738102349	0.909962027946175
cg21596498	0.0822879758774145	0.942136496123821	0.944100678389788	0.940717610399491	0.94011541407792	0.934287145720006	0.936460530866271
cg12976793	0.121510774871396	0.929432998087802	0.931012841283615	0.936500141578686	0.940879413753621	0.933457674917889	0.929449049479421
cg13915752	0.104417639130537	0.918813155788837	0.908630198274232	0.88400721402048	0.903630964916707	0.907178664996928	0.914849242607274
cg17232476	0.0695043127758867	0.926417427392399	0.923988028010388	0.9380927628741	0.910982460776675	0.940091084306682	0.925243186587723
cg06889975	0.0921698849847027	0.937512000016383	0.930941208530329	0.904798210985212	0.924723116271761	0.911095613929786	0.924082520694459
cg14936008	0.0858878732084095	0.933176392413828	0.938805581623313	0.94185324612859	0.937443504776443	0.93770635258117	0.93316223217352
cg05579731	0.079974453350431	0.898655883827434	0.897083156117878	0.908319512729707	0.913409857784414	0.908193198367674	0.891013615103022
cg25838060	0.120165488005167	0.919203144661564	0.931965819526594	0.942807512708422	0.842463536116442	0.935367765431637	0.913401718850768
cg25131632	0.0484596170974772	0.946831697173128	0.925793816082613	0.961977058456053	0.959048410068865	0.958460673583512	0.917530517216969
cg02582213	0.122530986033353	0.923419111288339	0.924421440663227	0.934506117227177	0.924664855637808	0.931981903771735	0.919024409605155
cg15287850	0.0808220517593979	0.90867379711114	0.902864146953214	0.877071454314037	0.903615171153294	0.893628648406388	0.896758851931532
cg26946905	0.231669436164245	0.92341366186954	0.92777346776307	0.93723227885512	0.925058701260511	0.930932456489616	0.930577051201625
cg07721872	0.0738786621450495	0.948488488113824	0.958112359100898	0.968869470511965	0.959047757927781	0.962968476375929	0.954012028677883
cg26810157	0.0930871336335616	0.898773029922988	0.881379123546407	0.838517367086438	0.89185318515813	0.872564764312888	0.852575108230363
